v2	V(vout)
7.800000000000006e-02	1.502283e-02
7.900000000000006e-02	1.515000e-02
8.000000000000006e-02	1.528118e-02
8.100000000000006e-02	1.541653e-02
8.200000000000006e-02	1.555622e-02
8.300000000000006e-02	1.570039e-02
8.400000000000006e-02	1.584922e-02
8.500000000000006e-02	1.600289e-02
8.600000000000006e-02	1.616159e-02
8.700000000000006e-02	1.632552e-02
8.800000000000006e-02	1.649487e-02
8.900000000000007e-02	1.666987e-02
9.000000000000007e-02	1.685074e-02
9.100000000000007e-02	1.703772e-02
9.200000000000007e-02	1.723106e-02
9.300000000000007e-02	1.743103e-02
9.400000000000007e-02	1.763790e-02
9.500000000000007e-02	1.785196e-02
9.600000000000007e-02	1.807352e-02
9.700000000000007e-02	1.830291e-02
9.800000000000007e-02	1.854048e-02
9.900000000000007e-02	1.878657e-02
1.000000000000001e-01	1.904158e-02
1.010000000000001e-01	1.930591e-02
1.020000000000001e-01	1.957998e-02
1.030000000000001e-01	1.986427e-02
1.040000000000001e-01	2.015923e-02
1.050000000000001e-01	2.046540e-02
1.060000000000001e-01	2.078331e-02
1.070000000000001e-01	2.111353e-02
1.080000000000001e-01	2.145670e-02
1.090000000000001e-01	2.181345e-02
1.100000000000001e-01	2.218451e-02
1.110000000000001e-01	2.257060e-02
1.120000000000001e-01	2.297253e-02
1.130000000000001e-01	2.339116e-02
1.140000000000001e-01	2.382741e-02
1.150000000000001e-01	2.428226e-02
1.160000000000001e-01	2.475675e-02
1.170000000000001e-01	2.525204e-02
1.180000000000001e-01	2.576934e-02
1.190000000000001e-01	2.630997e-02
1.200000000000001e-01	2.687534e-02
1.210000000000001e-01	2.746700e-02
1.220000000000001e-01	2.808659e-02
1.230000000000001e-01	2.873592e-02
1.240000000000001e-01	2.941693e-02
1.250000000000001e-01	3.013172e-02
1.260000000000001e-01	3.088257e-02
1.270000000000001e-01	3.167197e-02
1.280000000000001e-01	3.250261e-02
1.290000000000001e-01	3.337739e-02
1.300000000000001e-01	3.429950e-02
1.310000000000001e-01	3.527234e-02
1.320000000000001e-01	3.629965e-02
1.330000000000001e-01	3.738542e-02
1.340000000000001e-01	3.853393e-02
1.350000000000001e-01	3.974980e-02
1.360000000000001e-01	4.103789e-02
1.370000000000001e-01	4.240333e-02
1.380000000000001e-01	4.385142e-02
1.390000000000001e-01	4.538754e-02
1.400000000000001e-01	4.701704e-02
1.410000000000001e-01	4.874498e-02
1.420000000000001e-01	5.057591e-02
1.430000000000001e-01	5.251348e-02
1.440000000000001e-01	5.456005e-02
1.450000000000001e-01	5.671621e-02
1.460000000000001e-01	5.898026e-02
1.470000000000001e-01	6.134785e-02
1.480000000000001e-01	6.381159e-02
1.490000000000001e-01	6.636106e-02
1.500000000000001e-01	6.898304e-02
1.510000000000001e-01	7.166204e-02
1.520000000000001e-01	7.438117e-02
1.530000000000001e-01	7.712308e-02
1.540000000000001e-01	7.987101e-02
1.550000000000001e-01	8.260956e-02
1.560000000000001e-01	8.532533e-02
1.570000000000001e-01	8.800722e-02
1.580000000000001e-01	9.064650e-02
1.590000000000001e-01	9.323671e-02
1.600000000000001e-01	9.577338e-02
1.610000000000001e-01	9.825379e-02
1.620000000000001e-01	1.006766e-01
1.630000000000001e-01	1.030414e-01
1.640000000000001e-01	1.053489e-01
1.650000000000001e-01	1.076003e-01
1.660000000000001e-01	1.097971e-01
1.670000000000001e-01	1.119412e-01
