Title: *include sf.spice
Date: Wed Oct 11 20:10:01  2023
Plotname: Transient Analysis
Flags: real
No. Variables: 2
No. Points: 1129
Variables:
	0	time	time
	1	v(vout)	voltage
Values:
 0	0.000000000000000e+00
	3.396469342271729e-07

 1	1.000000000000000e-11
	3.177589997098483e-05

 2	2.000000000000000e-11
	6.342274844335421e-05

 3	4.000000000000000e-11
	1.277144264901753e-04

 4	8.000000000000001e-11
	2.615897135998589e-04

 5	1.600000000000000e-10
	5.667142047883866e-04

 6	3.200000000000000e-10
	1.590598140246396e-03

 7	5.841475823846220e-10
	2.158229492913281e-02

 8	9.082996029089263e-10
	1.508168414301537e-01

 9	1.234924394908266e-09
	4.226287248399316e-01

 10	1.888173978906947e-09
	1.153059503262188e+00

 11	2.000000000000000e-09
	1.287491529944844e+00

 12	2.071873252205396e-09
	1.356570333028404e+00

 13	2.215619756616187e-09
	1.472426746549614e+00

 14	2.503112765437771e-09
	1.612310358780050e+00

 15	3.078098783080937e-09
	1.732776817632699e+00

 16	3.857362448514761e-09
	1.780363053535641e+00

 17	4.857362448514761e-09
	1.795763269271960e+00

 18	5.857362448514760e-09
	1.798947339699695e+00

 19	6.857362448514760e-09
	1.799661361509745e+00

 20	7.857362448514760e-09
	1.799823675002485e+00

 21	8.857362448514761e-09
	1.799860816119922e+00

 22	9.857362448514762e-09
	1.799869456754945e+00

 23	1.085736244851476e-08
	1.799871603052259e+00

 24	1.185736244851476e-08
	1.799872257377662e+00

 25	1.285736244851476e-08
	1.799872561169837e+00

 26	1.385736244851476e-08
	1.799872787658114e+00

 27	1.485736244851476e-08
	1.799872987161599e+00

 28	1.585736244851477e-08
	1.799873183361623e+00

 29	1.685736244851476e-08
	1.799873369618492e+00

 30	1.785736244851476e-08
	1.799873556612492e+00

 31	1.885736244851476e-08
	1.799873734735808e+00

 32	1.985736244851476e-08
	1.799873913985781e+00

 33	2.085736244851476e-08
	1.799874084596638e+00

 34	2.185736244851476e-08
	1.799874256524088e+00

 35	2.285736244851476e-08
	1.799874419990918e+00

 36	2.385736244851476e-08
	1.799874584944864e+00

 37	2.485736244851476e-08
	1.799874741605176e+00

 38	2.585736244851476e-08
	1.799874899913640e+00

 39	2.685736244851475e-08
	1.799875050086635e+00

 40	2.785736244851475e-08
	1.799875202060351e+00

 41	2.885736244851475e-08
	1.799875346048566e+00

 42	2.985736244851476e-08
	1.799875491982134e+00

 43	3.085736244851476e-08
	1.799875630072467e+00

 44	3.185736244851476e-08
	1.799875770245309e+00

 45	3.285736244851476e-08
	1.799875902709919e+00

 46	3.385736244851476e-08
	1.799876037387159e+00

 47	3.485736244851477e-08
	1.799876164484339e+00

 48	3.585736244851477e-08
	1.799876293917631e+00

 49	3.685736244851477e-08
	1.799876415892587e+00

 50	3.785736244851477e-08
	1.799876540320884e+00

 51	3.885736244851478e-08
	1.799876657406488e+00

 52	3.985736244851478e-08
	1.799876777056757e+00

 53	4.085736244851478e-08
	1.799876889474239e+00

 54	4.185736244851478e-08
	1.799877004562136e+00

 55	4.285736244851479e-08
	1.799877112521732e+00

 56	4.385736244851479e-08
	1.799877223252232e+00

 57	4.485736244851479e-08
	1.799877326953796e+00

 58	4.585736244851479e-08
	1.799877433521778e+00

 59	4.685736244851480e-08
	1.799877533155352e+00

 60	4.785736244851480e-08
	1.799877635746153e+00

 61	4.885736244851480e-08
	1.799877731492497e+00

 62	4.985736244851480e-08
	1.799877830282429e+00

 63	5.085736244851480e-08
	1.799877922313527e+00

 64	5.185736244851481e-08
	1.799878017470365e+00

 65	5.200000000000000e-08
	1.799878028087766e+00

 66	5.208935421390579e-08
	1.798284170457565e+00

 67	5.226806264171736e-08
	1.795622419802813e+00

 68	5.258901288527660e-08
	1.793855270189726e+00

 69	5.323091337239508e-08
	1.791862242173562e+00

 70	5.393117092597674e-08
	1.789705566969050e+00

 71	5.400000000000000e-08
	1.789493597753966e+00

 72	5.410000000000000e-08
	1.789478289213041e+00

 73	5.430000000000000e-08
	1.789447598635393e+00

 74	5.470000000000000e-08
	1.789386231180476e+00

 75	5.550000000000000e-08
	1.789263550939871e+00

 76	5.650000000000000e-08
	1.789110301684817e+00

 77	5.750000000000001e-08
	1.788957163023378e+00

 78	5.850000000000001e-08
	1.788804132914547e+00

 79	5.950000000000001e-08
	1.788651209550429e+00

 80	6.050000000000001e-08
	1.788498390974271e+00

 81	6.150000000000000e-08
	1.788345675460388e+00

 82	6.250000000000000e-08
	1.788193061132313e+00

 83	6.349999999999999e-08
	1.788040546342703e+00

 84	6.449999999999999e-08
	1.787888129291604e+00

 85	6.549999999999998e-08
	1.787735808406344e+00

 86	6.649999999999998e-08
	1.787583581959911e+00

 87	6.749999999999998e-08
	1.787431448450817e+00

 88	6.849999999999997e-08
	1.787279406221596e+00

 89	6.949999999999997e-08
	1.787127453838643e+00

 90	7.049999999999996e-08
	1.786975589710812e+00

 91	7.149999999999996e-08
	1.786823812469236e+00

 92	7.249999999999995e-08
	1.786672120586031e+00

 93	7.349999999999995e-08
	1.786520512754085e+00

 94	7.449999999999995e-08
	1.786368987505863e+00

 95	7.549999999999994e-08
	1.786217543593174e+00

 96	7.649999999999994e-08
	1.786066179606071e+00

 97	7.749999999999993e-08
	1.785914894352582e+00

 98	7.849999999999993e-08
	1.785763686477721e+00

 99	7.949999999999992e-08
	1.785612554843177e+00

 100	8.049999999999992e-08
	1.785461498146421e+00

 101	8.149999999999992e-08
	1.785310515300365e+00

 102	8.249999999999991e-08
	1.785159605052561e+00

 103	8.349999999999991e-08
	1.785008766364826e+00

 104	8.449999999999990e-08
	1.784857998032530e+00

 105	8.549999999999990e-08
	1.784707299064186e+00

 106	8.649999999999989e-08
	1.784556668300832e+00

 107	8.749999999999989e-08
	1.784406104795578e+00

 108	8.849999999999989e-08
	1.784255607433079e+00

 109	8.949999999999988e-08
	1.784105175309043e+00

 110	9.049999999999988e-08
	1.783954807349791e+00

 111	9.149999999999987e-08
	1.783804502691725e+00

 112	9.249999999999987e-08
	1.783654260300977e+00

 113	9.349999999999986e-08
	1.783504079352829e+00

 114	9.449999999999986e-08
	1.783353958851450e+00

 115	9.549999999999986e-08
	1.783203898009275e+00

 116	9.649999999999985e-08
	1.783053895866832e+00

 117	9.749999999999985e-08
	1.782903951672062e+00

 118	9.849999999999984e-08
	1.782754064500236e+00

 119	9.949999999999984e-08
	1.782604233633240e+00

 120	1.000000000000000e-07
	1.782529339035495e+00

 121	1.001000000000000e-07
	1.782807017669513e+00

 122	1.003000000000000e-07
	1.783362287056831e+00

 123	1.007000000000000e-07
	1.784472832351455e+00

 124	1.015000000000000e-07
	1.786741480994218e+00

 125	1.020000000000000e-07
	1.794355277456933e+00

 126	1.021000000000000e-07
	1.794978383522118e+00

 127	1.023000000000000e-07
	1.796083011634910e+00

 128	1.027000000000000e-07
	1.797617710261467e+00

 129	1.035000000000000e-07
	1.799136193639800e+00

 130	1.045000000000000e-07
	1.799711672435853e+00

 131	1.055000000000000e-07
	1.799842497963632e+00

 132	1.065000000000000e-07
	1.799872337294413e+00

 133	1.075000000000000e-07
	1.799879170709478e+00

 134	1.085000000000000e-07
	1.799880766124597e+00

 135	1.095000000000000e-07
	1.799881157645069e+00

 136	1.105000000000000e-07
	1.799881273666346e+00

 137	1.115000000000000e-07
	1.799881326410093e+00

 138	1.125000000000000e-07
	1.799881364321557e+00

 139	1.135000000000000e-07
	1.799881398460265e+00

 140	1.145000000000000e-07
	1.799881431358252e+00

 141	1.155000000000000e-07
	1.799881463599351e+00

 142	1.165000000000000e-07
	1.799881495325381e+00

 143	1.174999999999999e-07
	1.799881526574571e+00

 144	1.184999999999999e-07
	1.799881557363954e+00

 145	1.195000000000000e-07
	1.799881587702979e+00

 146	1.204999999999999e-07
	1.799881617601812e+00

 147	1.214999999999999e-07
	1.799881647068043e+00

 148	1.224999999999999e-07
	1.799881676111126e+00

 149	1.234999999999999e-07
	1.799881704738207e+00

 150	1.244999999999999e-07
	1.799881732958365e+00

 151	1.254999999999999e-07
	1.799881760778392e+00

 152	1.264999999999999e-07
	1.799881788207020e+00

 153	1.274999999999999e-07
	1.799881815250709e+00

 154	1.284999999999999e-07
	1.799881841917866e+00

 155	1.294999999999999e-07
	1.799881868214629e+00

 156	1.304999999999999e-07
	1.799881894149095e+00

 157	1.314999999999999e-07
	1.799881919727096e+00

 158	1.324999999999999e-07
	1.799881944956428e+00

 159	1.334999999999999e-07
	1.799881969842635e+00

 160	1.344999999999999e-07
	1.799881994393227e+00

 161	1.354999999999999e-07
	1.799882018613469e+00

 162	1.364999999999999e-07
	1.799882042510602e+00

 163	1.374999999999999e-07
	1.799882066089621e+00

 164	1.384999999999999e-07
	1.799882089357507e+00

 165	1.394999999999999e-07
	1.799882112319004e+00

 166	1.404999999999999e-07
	1.799882134980842e+00

 167	1.414999999999999e-07
	1.799882157347522e+00

 168	1.424999999999999e-07
	1.799882179425538e+00

 169	1.434999999999998e-07
	1.799882201219158e+00

 170	1.444999999999998e-07
	1.799882222734648e+00

 171	1.454999999999998e-07
	1.799882243976056e+00

 172	1.464999999999998e-07
	1.799882264949429e+00

 173	1.474999999999998e-07
	1.799882285658605e+00

 174	1.484999999999998e-07
	1.799882306109422e+00

 175	1.494999999999998e-07
	1.799882326305514e+00

 176	1.504999999999998e-07
	1.799882346252522e+00

 177	1.514999999999998e-07
	1.799882365953887e+00

 178	1.520000000000000e-07
	1.799882375714290e+00

 179	1.521000000000000e-07
	1.798104620004980e+00

 180	1.523000000000000e-07
	1.795312680076063e+00

 181	1.527000000000000e-07
	1.793521650747737e+00

