time,V(vout)
4.76397E-10,1.418206
4.76983E-10,1.49995
4.77568E-10,1.580706
4.78154E-10,1.653265
4.7874E-10,1.707561
4.79326E-10,1.739814
4.79912E-10,1.755417
4.80498E-10,1.762437
4.81084E-10,1.766124
4.8167E-10,1.768677
4.82256E-10,1.770803
4.82842E-10,1.7727
4.83428E-10,1.774438
4.84014E-10,1.776049
4.846E-10,1.777549
4.85186E-10,1.778947
4.86358E-10,1.781472
4.87529E-10,1.783685
4.88701E-10,1.785631
4.89873E-10,1.787348
4.91045E-10,1.788865
4.92217E-10,1.790207
4.93389E-10,1.791394
4.95147E-10,1.792925
4.96904E-10,1.794197
4.98662E-10,1.79525
5.0042E-10,1.796118
5.02178E-10,1.796828
5.03936E-10,1.797404
5.05693E-10,1.797868
5.07451E-10,1.798237
5.09209E-10,1.798527
5.10967E-10,1.798753
5.12725E-10,1.798928
5.14064E-10,1.799026
5.15403E-10,1.799112
5.16743E-10,1.799186
5.18082E-10,1.799248
5.19421E-10,1.799298
5.2076E-10,1.799336
5.221E-10,1.799362
5.23941E-10,1.799395
5.25783E-10,1.799425
5.27624E-10,1.799451
5.29466E-10,1.799473
5.31307E-10,1.799493
5.33149E-10,1.799509
5.3499E-10,1.799521
5.35995E-10,1.799529
5.36999E-10,1.799536
5.38004E-10,1.799543
5.39008E-10,1.79955
5.40013E-10,1.799557
5.41017E-10,1.799564
5.42022E-10,1.799571
5.43193E-10,1.799579
5.44365E-10,1.799587
5.44951E-10,1.799591
5.45537E-10,1.799595
5.46709E-10,1.799604
5.48467E-10,1.799618
5.49304E-10,1.799625
5.50141E-10,1.799632
5.50978E-10,1.799639
5.51815E-10,1.799646
5.52652E-10,1.799654
5.53489E-10,1.799662
5.54326E-10,1.79967
5.56084E-10,1.799688
5.57842E-10,1.799706
5.596E-10,1.799724
5.61358E-10,1.799743
5.63115E-10,1.799762
5.64287E-10,1.799774
5.65208E-10,1.799784
5.66129E-10,1.799793
5.67049E-10,1.799802
5.6797E-10,1.799811
5.68891E-10,1.79982
5.69812E-10,1.799828
5.70733E-10,1.799837
5.72323E-10,1.79985
5.73913E-10,1.799863
5.75504E-10,1.799875
5.77094E-10,1.799886
5.78685E-10,1.799897
5.80275E-10,1.799906
5.81865E-10,1.799915
5.82535E-10,1.799918
5.83205E-10,1.799922
5.83874E-10,1.799925
5.84544E-10,1.799928
5.85214E-10,1.799931
